,Unnamed: 0,Unnamed: 0.1,eval/perplexity,eval/loss,eval/step,eval/epoch,eval/batch_idx,eval/updates,test/perplexity,test/loss,Embedding parameters,Non-embedding parameters,Total parameters,run_name,embedding_size,hidden_size,intermediate_size,num_attention_heads,num_hidden_layers,Experiment type,FLOPS Hoffman per sequence,FLOPS Hoffman total,FLOPS Kaplan per sequence,FLOPS Kaplan total,Tokens,FLOP bins
330,42,42,6.425866054230327,1.860331416130066,7000,0,6999,7000,4.7360295938837895,1.555199146270752,4900864.0,6403394.0,11304258.0,clean-sky-2,256.0,256.0,1024.0,1.0,8.0,Model Config,12157059072.0,2.1785449857024e+16,4917806592.0,8812709412864000.0,229376000.0,35
332,44,44,6.011493124405685,1.7936731576919556,9000,0,8999,9000,4.7360295938837895,1.555199146270752,4900864.0,6403394.0,11304258.0,clean-sky-2,256.0,256.0,1024.0,1.0,8.0,Model Config,12157059072.0,2.8009864101888e+16,4917806592.0,1.1330626387968e+16,294912000.0,36
333,45,45,5.858797255009215,1.7679443359375,10000,0,9999,10000,4.7360295938837895,1.555199146270752,4900864.0,6403394.0,11304258.0,clean-sky-2,256.0,256.0,1024.0,1.0,8.0,Model Config,12157059072.0,3.112207122432e+16,4917806592.0,1.258958487552e+16,327680000.0,37
372,84,84,5.558644721298019,1.715354323387146,13000,0,12999,13000,4.673005339338952,1.5418024063110352,4900864.0,6403394.0,11304258.0,polar-sponge-3,256.0,256.0,1024.0,2.0,8.0,Model Config,12158238720.0,4.046261846016e+16,4917806592.0,1.6366460338176e+16,425984000.0,38
374,86,86,5.390798160568997,1.684693455696106,15000,0,14999,15000,4.673005339338952,1.5418024063110352,4900864.0,6403394.0,11304258.0,polar-sponge-3,256.0,256.0,1024.0,2.0,8.0,Model Config,12158238720.0,4.66876366848e+16,4917806592.0,1.888437731328e+16,491520000.0,39
377,89,89,5.188734632202014,1.6464898586273191,18000,0,17999,18000,4.673005339338952,1.5418024063110352,4900864.0,6403394.0,11304258.0,polar-sponge-3,256.0,256.0,1024.0,2.0,8.0,Model Config,12158238720.0,5.602516402176e+16,4917806592.0,2.2661252775936e+16,589824000.0,40
381,93,93,5.016059535574223,1.6126446723937988,22000,0,21999,22000,4.673005339338952,1.5418024063110352,4900864.0,6403394.0,11304258.0,polar-sponge-3,256.0,256.0,1024.0,2.0,8.0,Model Config,12158238720.0,6.847520047104e+16,4917806592.0,2.7697086726144e+16,720896000.0,41
386,98,98,4.847360587767645,1.5784343481063845,27000,0,26999,27000,4.673005339338952,1.5418024063110352,4900864.0,6403394.0,11304258.0,polar-sponge-3,256.0,256.0,1024.0,2.0,8.0,Model Config,12158238720.0,8.403774603264e+16,4917806592.0,3.3991879163904e+16,884736000.0,42
394,106,106,4.659267166102077,1.53885817527771,35000,0,34999,35000,4.673005339338952,1.5418024063110352,4900864.0,6403394.0,11304258.0,polar-sponge-3,256.0,256.0,1024.0,2.0,8.0,Model Config,12158238720.0,1.089378189312e+17,4917806592.0,4.406354706432e+16,1146880000.0,43
72,0,0,56.92052617556893,4.041656017303467,2000,0,1999,1000,22.434051649313577,3.11057996749878,612608.0,638114.0,1250722.0,magic-bee-26,32.0,32.0,64.0,1.0,1.0,Model Config,943964160.0,241654824960000.0,490071552.0,125458317312000.0,32768000.0,9
