,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,eval/perplexity,eval/loss,eval/step,eval/epoch,eval/batch_idx,eval/updates,test/perplexity,test/loss,Embedding parameters,Non-embedding parameters,Total parameters,run_name,embedding_size,hidden_size,intermediate_size,num_attention_heads,num_hidden_layers,Experiment type,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,FLOPS Hoffman per sequence,FLOPS Hoffman total,FLOPS Kaplan per sequence,FLOPS Kaplan total,Tokens,FLOP bins
942,942,330,330,6.425866054230327,1.860331416130066,7000,0,6999,7000,4.7360295938837895,1.555199146270752,4900864.0,6403394.0,11304258.0,clean-sky-2,256.0,256.0,1024.0,1.0,8.0,Model config.,42.0,42.0,12157059072.0,2.1785449857024e+16,4968138240.0,8902903726080000.0,229376000,34
944,944,332,332,6.011493124405685,1.7936731576919556,9000,0,8999,9000,4.7360295938837895,1.555199146270752,4900864.0,6403394.0,11304258.0,clean-sky-2,256.0,256.0,1024.0,1.0,8.0,Model config.,44.0,44.0,12157059072.0,2.8009864101888e+16,4968138240.0,1.144659050496e+16,294912000,35
945,945,333,333,5.858797255009215,1.7679443359375,10000,0,9999,10000,4.7360295938837895,1.555199146270752,4900864.0,6403394.0,11304258.0,clean-sky-2,256.0,256.0,1024.0,1.0,8.0,Model config.,45.0,45.0,12157059072.0,3.112207122432e+16,4968138240.0,1.27184338944e+16,327680000,36
947,947,335,335,5.648918707094836,1.731464147567749,12000,0,11999,12000,4.7360295938837895,1.555199146270752,4900864.0,6403394.0,11304258.0,clean-sky-2,256.0,256.0,1024.0,1.0,8.0,Model config.,47.0,47.0,12157059072.0,3.7346485469184e+16,4968138240.0,1.526212067328e+16,393216000,37
985,985,373,373,5.45594423137629,1.69670569896698,14000,0,13999,14000,4.673005339338952,1.5418024063110352,4900864.0,6403394.0,11304258.0,polar-sponge-3,256.0,256.0,1024.0,2.0,8.0,Model config.,85.0,85.0,12158238720.0,4.357512757248e+16,4968138240.0,1.780580745216e+16,458752000,38
987,987,375,375,5.31246267643482,1.6700555086135864,16000,0,15999,16000,4.673005339338952,1.5418024063110352,4900864.0,6403394.0,11304258.0,polar-sponge-3,256.0,256.0,1024.0,2.0,8.0,Model config.,87.0,87.0,12158238720.0,4.980014579712e+16,4968138240.0,2.034949423104e+16,524288000,39
990,990,378,378,5.154731287176743,1.6399149894714355,19000,0,18999,19000,4.673005339338952,1.5418024063110352,4900864.0,6403394.0,11304258.0,polar-sponge-3,256.0,256.0,1024.0,2.0,8.0,Model config.,90.0,90.0,12158238720.0,5.913767313408e+16,4968138240.0,2.416502439936e+16,622592000,40
993,993,381,381,5.016059535574223,1.6126446723937988,22000,0,21999,22000,4.673005339338952,1.5418024063110352,4900864.0,6403394.0,11304258.0,polar-sponge-3,256.0,256.0,1024.0,2.0,8.0,Model config.,93.0,93.0,12158238720.0,6.847520047104e+16,4968138240.0,2.798055456768e+16,720896000,41
997,997,385,385,4.872944003917125,1.583698272705078,26000,0,25999,26000,4.673005339338952,1.5418024063110352,4900864.0,6403394.0,11304258.0,polar-sponge-3,256.0,256.0,1024.0,2.0,8.0,Model config.,97.0,97.0,12158238720.0,8.092523692032e+16,4968138240.0,3.306792812544e+16,851968000,42
1006,1006,394,394,4.659267166102077,1.53885817527771,35000,0,34999,35000,4.673005339338952,1.5418024063110352,4900864.0,6403394.0,11304258.0,polar-sponge-3,256.0,256.0,1024.0,2.0,8.0,Model config.,106.0,106.0,12158238720.0,1.089378189312e+17,4968138240.0,4.45145186304e+16,1146880000,43
432,432,36,36,53.94194433636223,3.987908363342285,2000,0,1999,1000,21.58500958419808,3.0719990730285645,612608.0,650594.0,1263202.0,stellar-galaxy-5,32.0,32.0,256.0,2.0,1.0,Iso-FLOPs,,,953548800.0,244108492800000.0,499656192.0,127911985152000.0,32768000,9
