,tokenizer,vocab_size,sentence_length,sentence_split_ratio,word_split_ratio,manual_evaluation,cola,sst2,mrpc,stsb,rte,wnli
0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,roberta-base,35000.0,14.3972,1.7726326903410132,1.5435383922636534,0.12830188679245283,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,roberta-base,36000.0,14.3568,1.7683211130520795,1.5392070673499583,0.12075471698113208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,roberta-base,37000.0,14.3042,1.7626997583448603,1.5335677680811373,0.12075471698113208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,roberta-base,38000.0,14.2592,1.758703783677861,1.528743272508952,0.12075471698113208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,roberta-base,39000.0,14.2166,1.7549472343842298,1.5241760833672835,0.12075471698113208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,roberta-base,pretrained,14.4162,1.8061212810538345,1.5455754015052425,0.15471698113207547,,,,,,
